size	gen_mean	gen_std	att_mean	att_std
300	1.0487669467926026	0.15181330566556178	36.454	0.340951818967347
600	1.7604743639628093	0.22547174859701402	36.636266666666664	0.10406760623107816
900	2.402257521947225	0.1998488551794794	36.794066666666666	0.104079960103942
1200	3.0469326972961426	0.2549274509962135	36.90966666666666	0.12589659400060124
1500	3.6337082544962565	0.10759849387282441	36.00266666666666	0.31677609638054344
1800	4.4373178323109945	0.2561841920801763	36.07313333333333	0.10365868902086185
2100	5.206466770172119	0.32397534877399525	36.15593333333333	0.11927666917517299
2400	5.879462464650472	0.2608878741879982	36.090333333333334	0.3205463342185536
2700	6.4711620807647705	0.3698045785570669	36.27806666666667	0.14464807868294158
3000	7.141627327601115	0.29184257685110165	36.36913333333333	0.21275366932093975
6000	14.051792414983113	0.34022949526154916	37.223666666666674	0.3274995456194602
15000	34.38554782867432	0.47541786327546176	39.332333333333324	0.46244809232522427
30000	68.55169094403585	1.0833380478012695	43.6992	0.5975575525181054
